Índice de Desenvolvimento Humano Municipal-ed 2003;;;;
Sigla;Código;Município;1991;2000
BA;2927309;Salinas da Margarida;0,581;0,659
BA;2927408;Salvador;0,751;0,805
BA;2927507;Santa Bárbara;0,501;0,621
BA;2927606;Santa Brígida;0,417;0,53
BA;2927705;Santa Cruz Cabrália;0,56;0,688
BA;2927804;Santa Cruz da Vitória;0,524;0,609
BA;2927903;Santa Inês;0,519;0,651
BA;2928000;Santaluz;0,521;0,646
BA;2928059;Santa Luzia;0,466;0,583
BA;2928109;Santa Maria da Vitória;0,536;0,669
BA;2928208;Santana;0,557;0,645
BA;2928307;Santanópolis;0,534;0,627
BA;2928406;Santa Rita de Cássia;0,545;0,651
BA;2928505;Santa Teresinha;0,529;0,628
BA;2928604;Santo Amaro;0,606;0,684
BA;2928703;Santo Antônio de Jesus;0,636;0,729
BA;2928802;Santo Estêvão;0,55;0,649
BA;2928901;São Desidério;0,489;0,61
BA;2928950;São Domingos;0,531;0,624
BA;2929008;São Félix;0,556;0,657
BA;2929057;São Félix do Coribe;0,541;0,683
BA;2929107;São Felipe;0,554;0,669
BA;2929206;São Francisco do Conde;0,622;0,714
BA;2929255;São Gabriel;0,47;0,619
BA;2929305;São Gonçalo dos Campos;0,556;0,667
BA;2929354;São José da Vitória;0,5;0,626
BA;2929370;São José do Jacuípe;0,477;0,577
BA;2929404;São Miguel das Matas;0,556;0,659
BA;2929503;São Sebastião do Passé;0,618;0,693
BA;2929602;Sapeaçu;0,577;0,677
BA;2929701;Sátiro Dias;0,454;0,549
BA;2929750;Saubara;0,566;0,672
BA;2929800;Saúde;0,514;0,616
BA;2929909;Seabra;0,552;0,661
BA;2930006;Sebastião Laranjeiras;0,546;0,645
BA;2930105;Senhor do Bonfim;0,561;0,69
BA;2930154;Serra do Ramalho;0,471;0,598
BA;2930204;Sento Sé;0,485;0,603
BA;2930303;Serra Dourada;0,508;0,637
BA;2930402;Serra Preta;0,486;0,604
BA;2930501;Serrinha;0,566;0,658
BA;2930600;Serrolândia;0,522;0,63
BA;2930709;Simões Filho;0,66;0,73
BA;2930758;Sítio do Mato;0,491;0,6
BA;2930766;Sítio do Quinto;0,448;0,561
BA;2930774;Sobradinho;0,617;0,684
BA;2930808;Souto Soares;0,503;0,604
BA;2930907;Tabocas do Brejo Velho;0,49;0,599
BA;2931004;Tanhaçu;0,476;0,653
BA;2931053;Tanque Novo;0,52;0,613
BA;2931103;Tanquinho;0,565;0,661
BA;2931202;Taperoá;0,463;0,606
BA;2931301;Tapiramutá;0,471;0,615
BA;2931350;Teixeira de Freitas;0,598;0,698
BA;2931400;Teodoro Sampaio;0,591;0,661
BA;2931509;Teofilândia;0,498;0,607
BA;2931608;Teolândia;0,481;0,591
BA;2931707;Terra Nova;0,588;0,672
BA;2931806;Tremedal;0,472;0,608
BA;2931905;Tucano;0,472;0,582
BA;2932002;Uauá;0,509;0,616
BA;2932101;Ubaíra;0,509;0,624
BA;2932200;Ubaitaba;0,534;0,641
BA;2932309;Ubatã;0,526;0,64
BA;2932408;Uibaí;0,522;0,615
BA;2932457;Umburanas;0,402;0,553
BA;2932507;Una;0,498;0,608
BA;2932606;Urandi;0,571;0,67
BA;2932705;Uruçuca;0,525;0,652
BA;2932804;Utinga;0,484;0,596
